Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
wl,23,0.99987688924339,Delay,3.76555751134432,0.25,1,3.76555751134432,0.2535,42.1877768248343,0.10694,0.10694,0,0.10694,0.2535
wl,23,0.99987688924339,Delay,3.79740697665328,0.5,2,3.79740697665328,0.2535,43.5854234287178,0.11048,0.11048,0,0.11048,0.2535
wl,23,0.99987688924339,Delay,3.82925553600006,0.75,3,3.82925553600006,0.2535,45.0282590941293,0.11414,0.11414,0,0.11414,0.2535
wl,23,0.99987688924339,Delay,3.88276518114682,0.95,4,3.88276518114682,0.2535,47.5583020999334,0.12056,0.12056,0,0.12056,0.2535
wl,23,0.947824794772262,Light,4.58138018953727,0.25,1,4.58138018953727,4.1616,96.6490754751305,4.02214,4.02214,0,-5.78786,-5.6484
wl,23,0.947824794772262,Light,4.61593531246972,0.5,2,4.61593531246972,4.1616,100.082327894124,4.16502,4.16502,1,-5.64498,-5.6484
wl,23,0.947824794772262,Light,4.65049155571947,0.75,3,4.65049155571947,4.1616,103.636407562295,4.31293,4.16331,1,-5.64669,-5.6484
wl,23,0.947824794772262,Light,4.70856165923424,0.95,4,4.70856165923424,4.1616,109.892543875621,4.57328,4.1616,1,-5.6484,-5.6484
wl,23,0.985785663243636,Ripple,4.0275825507362,0.25,1,4.0275825507362,0.03591,55.1250676123568,0.01979,0.01979,0,0.01979,0.03591
wl,23,0.985785663243636,Ripple,4.05969222444898,0.5,2,4.05969222444898,0.03591,56.9564707489715,0.02045,0.02045,0,0.02045,0.03591
wl,23,0.985785663243636,Ripple,4.09180125252222,0.75,3,4.09180125252222,0.03591,58.8475953063266,0.02113,0.02113,0,0.02113,0.03591
wl,23,0.985785663243636,Ripple,4.14576260171051,0.95,4,4.14576260171051,0.03591,62.1657738662223,0.02232,0.02232,0,0.02232,0.03591
